r(angstrom),E_Ar2_AB(Hartree),E_Ar_iso(Hartree),E_ArA_AB(Hartree),E_ArB_AB(Hartree),E_int_noCP(Hartree),E_int_CP(Hartree),BSSE_correction(Hartree),E_int_noCP(kcal/mol),E_int_CP(kcal/mol),BSSE_correction(kcal/mol)
2.8,-1055.094352757814,-527.551432950626,-527.551448098476,-527.551448097838,0.008513143437994586,0.008543438500055345,3.0295062060758937e-05,5.342078160862534,5.361088599321078,0.019010438458544197
2.9,-1055.097458587458,-527.551432950626,-527.551446782887,-527.551446782385,0.00540731379396675,0.005434977813933983,2.766401996723289e-05,3.3931406346050195,3.4105000692233833,0.017359434618363805
3.0,-1055.099581845036,-527.551432950626,-527.55144695397,-527.5514469552,0.0032840562159890396,0.00331206413397922,2.800791799018043e-05,2.0607763886817123,2.0783516225675656,0.017575233885853258
3.1,-1055.100996297183,-527.551432950626,-527.551445769545,-527.551445770527,0.0018696040690429072,0.0018952428890770534,2.5638820034146192e-05,1.1731942659533743,1.189282868426982,0.016088602473607737
3.2,-1055.101934074476,-527.551432950626,-527.551445647917,-527.551445649223,0.0009318267759681476,0.0009572226639420478,2.5395887973900244e-05,0.5847301300468881,0.6006662903511532,0.015936160304265066
3.3,-1055.102535180829,-527.551432950626,-527.551445064984,-527.551445065407,0.0003307204231077776,0.00035494956216552964,2.4229139057752036e-05,0.20753019874541895,0.22273421305102178,0.015204014305602835
3.4,-1055.10290283864,-527.551432950626,-527.551443964556,-527.551443965411,-3.693738790389034e-05,-1.4908672937963274e-05,2.2028714965927065e-05,-0.023178560854504187,-0.009355333513339368,0.013823227341164819
3.4,-1055.10290283864,-527.551432950626,-527.551443964556,-527.551443965411,-3.693738790389034e-05,-1.4908672937963274e-05,2.2028714965927065e-05,-0.023178560854504187,-0.009355333513339368,0.013823227341164819
3.45,-1055.10302848116,-527.551432950626,-527.551443788129,-527.551443788624,-0.00016257990796475497,-0.0001409044069760057,2.1675500988749263e-05,-0.10202043252993179,-0.08841885030579526,0.01360158222413653
3.5,-1055.103123873527,-527.551432950626,-527.551443717727,-527.551443716902,-0.0002579722749942448,-0.00023643889801405749,2.1533376980187313e-05,-0.1618800465882219,-0.14836764852594084,0.013512398062281048
