r(angstrom),E_Kr2_AB(Hartree),E_Kr_iso(Hartree),E_KrA_AB(Hartree),E_KrB_AB(Hartree),E_int_noCP(Hartree),E_int_CP(Hartree),BSSE_correction(Hartree),E_int_noCP(kcal/mol),E_int_CP(kcal/mol),BSSE_correction(kcal/mol)
3.0,-5507.434666318969,-2753.722540250774,-2753.722574341276,-2753.722574333553,0.010414182578642794,0.010482355859949166,6.817328130637179e-05,6.534998232064103,6.577777611957519,0.04277937989341539
3.1,-5507.438348778182,-2753.722540250774,-2753.722568300876,-2753.722568296451,0.0067317233651920105,0.006787819144392415,5.609577920040465e-05,4.224220188005148,4.259420820904814,0.03520063289966606
3.2,-5507.440920084744,-2753.722540250774,-2753.722565423187,-2753.722565417888,0.004160416803642875,0.004210756330849108,5.033952720623347e-05,2.6107009600747015,2.6422894903132934,0.031588530238592254
3.3,-5507.442677660561,-2753.722540250774,-2753.722561771361,-2753.722561757655,0.002402840987087984,0.0024458684556520893,4.302746856410522e-05,1.5078054839132216,1.5348056280794349,0.0270001441662132
3.4,-5507.443865700513,-2753.722540250774,-2753.722557894214,-2753.722557882882,0.0012148010346209048,0.0012500765828917793,3.5275548270874424e-05,0.7622991582496197,0.7844348989901377,0.022135740740518016
3.5,-5507.444650000024,-2753.722540250774,-2753.72255747404,-2753.722557467708,0.0004305015236241161,0.000464941724203527,3.4440200579410885e-05,0.27014378464556765,0.2917553367956083,0.021611552150040618
3.6,-5507.445146288504,-2753.722540250774,-2753.722554114814,-2753.72255411141,-6.578695592907025e-05,-3.80622796001262e-05,2.7724676328944042e-05,-0.04128193811111205,-0.02388444105111612,0.017397497059995926
3.6,-5507.445146288504,-2753.722540250774,-2753.722554114814,-2753.72255411141,-6.578695592907025e-05,-3.80622796001262e-05,2.7724676328944042e-05,-0.04128193811111205,-0.02388444105111612,0.017397497059995926
3.65,-5507.445317808352,-2753.722540250774,-2753.722552486754,-2753.722552481831,-0.00023730680459266296,-0.0002128397673004656,2.4467037292197347e-05,-0.14891226812656272,-0.13355897042499756,0.01535329770156514
3.7,-5507.445450757054,-2753.722540250774,-2753.722552140402,-2753.722552141025,-0.0003702555059135193,-0.00034647562642931007,2.3779879484209232e-05,-0.23233883776139636,-0.21741673809447684,0.014922099666919526
3.75,-5507.445550638601,-2753.722540250774,-2753.722552690674,-2753.722552694275,-0.000470137053525832,-0.00044525365228764713,2.4883401238184888e-05,-0.29501545516590466,-0.27940088514360034,0.015614570022304347
3.8,-5507.445623240984,-2753.722540250774,-2753.722552929836,-2753.722552930305,-0.0005427394362413906,-0.0005173808426661708,2.5358593575219857e-05,-0.34057413815489157,-0.32466138043912557,0.01591275771576599
3.85,-5507.445672890602,-2753.722540250774,-2753.72255213096,-2753.722552127942,-0.0005923890539634158,-0.000568631699479738,2.3757354483677773e-05,-0.37172974365594064,-0.35682177864025644,0.01490796501568418
3.9,-5507.445703668066,-2753.722540250774,-2753.72255055093,-2753.722550546216,-0.000623166518380458,-0.0006025709199093399,2.0595598471118137e-05,-0.3910428941633325,-0.37811896100000597,0.012923933163326545
3.95,-5507.445719993428,-2753.722540250774,-2753.722549038937,-2753.722549032738,-0.0006394918800651794,-0.0006219217530087917,1.757012705638772e-05,-0.4012872132869718,-0.3902617920997048,0.011025421187267025
4.0,-5507.445725519544,-2753.722540250774,-2753.722548408943,-2753.722548405439,-0.0006450179962484981,-0.0006287051619437989,1.631283430469921e-05,-0.40475490354642896,-0.39451844547243803,0.010236458073990956
4.05,-5507.44572338517,-2753.722540250774,-2753.722548900499,-2753.72254889721,-0.0006428836222767131,-0.0006255874609450984,1.7296161331614712e-05,-0.4034155636580749,-0.3925620585586542,0.010853505099420686
4.1,-5507.445715935604,-2753.722540250774,-2753.72254980877,-2753.72254980595,-0.0006354340566758765,-0.0006163208840916923,1.9113172584184213e-05,-0.3987408906663654,-0.3867471937915928,0.011993696874772655
4.15,-5507.445702772904,-2753.722540250774,-2753.72255015254,-2753.722550147487,-0.0006222713564056903,-0.0006024728772899834,1.979847911570687e-05,-0.39048117154340123,-0.37805743832750405,0.0124237332158972
